episode,step,return
181,4608,11.0
182,4651,43.0
183,4671,20.0
184,4688,17.0
185,4738,50.0
186,4756,18.0
187,4778,22.0
188,4796,18.0
189,4829,33.0
190,4859,30.0
191,4882,23.0
192,4896,14.0
193,4912,16.0
194,4943,31.0
195,5011,68.0
196,5078,67.0
197,5105,27.0
198,5140,35.0
199,5180,40.0
200,5190,10.0
201,5216,26.0
202,5233,17.0
203,5299,66.0
204,5320,21.0
205,5374,54.0
206,5453,79.0
207,5501,48.0
208,5517,16.0
209,5535,18.0
210,5552,17.0
211,5602,50.0
212,5632,30.0
213,5663,31.0
214,5684,21.0
215,5699,15.0
216,5725,26.0
217,5779,54.0
218,5795,16.0
219,5887,92.0
220,5954,67.0
221,6004,50.0
222,6062,58.0
223,6159,97.0
224,6220,61.0
225,6240,20.0
226,6253,13.0
227,6283,30.0
228,6298,15.0
229,6313,15.0
230,6348,35.0
231,6393,45.0
232,6427,34.0
233,6453,26.0
234,6471,18.0
235,6498,27.0
236,6543,45.0
237,6576,33.0
238,6588,12.0
239,6614,26.0
240,6677,63.0
241,6690,13.0
242,6721,31.0
243,6735,14.0
244,6788,53.0
245,6816,28.0
246,6871,55.0
247,6888,17.0
248,6923,35.0
249,6960,37.0
250,6975,15.0
251,7028,53.0
252,7053,25.0
253,7071,18.0
254,7147,76.0
255,7191,44.0
256,7205,14.0
257,7234,29.0
258,7258,24.0
259,7286,28.0
260,7300,14.0
261,7320,20.0
262,7334,14.0
263,7366,32.0
264,7394,28.0
265,7405,11.0
266,7474,69.0
267,7491,17.0
268,7510,19.0
269,7523,13.0
270,7548,25.0
271,7636,88.0
272,7654,18.0
273,7671,17.0
274,7742,71.0
275,7860,118.0
276,7907,47.0
277,7922,15.0
278,7961,39.0
279,8002,41.0
280,8055,53.0
281,8073,18.0
282,8083,10.0
283,8120,37.0
284,8159,39.0
285,8179,20.0
286,8229,50.0
287,8248,19.0
288,8257,9.0
289,8282,25.0
290,8302,20.0
291,8320,18.0
292,8333,13.0
293,8354,21.0
294,8373,19.0
295,8394,21.0
296,8408,14.0
297,8418,10.0
298,8428,10.0
299,8446,18.0
300,8472,26.0
301,8488,16.0
302,8502,14.0
303,8520,18.0
304,8540,20.0
305,8548,8.0
306,8564,16.0
307,8580,16.0
308,8591,11.0
309,8611,20.0
310,8623,12.0
311,8646,23.0
312,8657,11.0
313,8669,12.0
314,8679,10.0
315,8690,11.0
316,8712,22.0
317,8727,15.0
318,8747,20.0
319,8761,14.0
320,8783,22.0
321,8799,16.0
322,8811,12.0
323,8825,14.0
324,8837,12.0
325,8875,38.0
326,8887,12.0
327,8902,15.0
328,8913,11.0
329,8944,31.0
330,8961,17.0
331,8991,30.0
332,9007,16.0
333,9017,10.0
334,9030,13.0
335,9050,20.0
336,9061,11.0
337,9071,10.0
338,9082,11.0
339,9112,30.0
340,9124,12.0
341,9135,11.0
342,9146,11.0
343,9162,16.0
344,9177,15.0
345,9191,14.0
346,9202,11.0
347,9219,17.0
348,9251,32.0
349,9269,18.0
350,9292,23.0
351,9309,17.0
352,9339,30.0
353,9353,14.0
354,9371,18.0
355,9392,21.0
356,9407,15.0
357,9460,53.0
358,9487,27.0
359,9504,17.0
360,9522,18.0
361,9550,28.0
362,9562,12.0
363,9574,12.0
364,9593,19.0
365,9605,12.0
366,9636,31.0
367,9651,15.0
368,9672,21.0
369,9686,14.0
370,9707,21.0
371,9724,17.0
372,9747,23.0
373,9766,19.0
374,9779,13.0
375,9791,12.0
376,9815,24.0
377,9829,14.0
378,9861,32.0
379,9891,30.0
380,9903,12.0
381,9912,9.0
382,9928,16.0
383,9950,22.0
384,9967,17.0
385,9981,14.0
386,9991,10.0
387,10007,16.0
388,10021,14.0
389,10036,15.0
390,10053,17.0
391,10065,12.0
392,10096,31.0
393,10107,11.0
394,10126,19.0
395,10148,22.0
396,10160,12.0
397,10176,16.0
398,10191,15.0
399,10206,15.0
400,10231,25.0
401,10251,20.0
402,10262,11.0
403,10272,10.0
404,10282,10.0
405,10292,10.0
406,10304,12.0
407,10313,9.0
408,10322,9.0
409,10331,9.0
410,10340,9.0
411,10349,9.0
412,10359,10.0
413,10369,10.0
414,10379,10.0
415,10390,11.0
416,10400,10.0
417,10410,10.0
418,10421,11.0
419,10430,9.0
420,10441,11.0
421,10450,9.0
422,10459,9.0
423,10470,11.0
424,10481,11.0
425,10491,10.0
426,10502,11.0
427,10511,9.0
428,10520,9.0
429,10530,10.0
430,10540,10.0
431,10550,10.0
432,10562,12.0
433,10572,10.0
434,10581,9.0
435,10590,9.0
436,10599,9.0
437,10609,10.0
438,10620,11.0
439,10630,10.0
440,10639,9.0
441,10649,10.0
442,10659,10.0
443,10669,10.0
444,10678,9.0
445,10687,9.0
446,10696,9.0
447,10705,9.0
448,10714,9.0
449,10722,8.0
450,10731,9.0
451,10740,9.0
452,10752,12.0
453,10762,10.0
454,10772,10.0
455,10780,8.0
456,10790,10.0
457,10800,10.0
458,10810,10.0
459,10820,10.0
460,10830,10.0
461,10843,13.0
462,10852,9.0
463,10862,10.0
464,10872,10.0
465,10881,9.0
466,10889,8.0
467,10899,10.0
468,10908,9.0
469,10917,9.0
470,10926,9.0
471,10934,8.0
472,10944,10.0
473,10953,9.0
474,10963,10.0
475,10972,9.0
476,10980,8.0
477,10989,9.0
478,10999,10.0
479,11007,8.0
480,11016,9.0
481,11026,10.0
482,11036,10.0
483,11046,10.0
484,11054,8.0
485,11063,9.0
486,11073,10.0
487,11082,9.0
488,11092,10.0
489,11102,10.0
490,11112,10.0
491,11121,9.0
492,11130,9.0
493,11139,9.0
494,11149,10.0
495,11159,10.0
496,11168,9.0
497,11177,9.0
498,11189,12.0
499,11198,9.0
500,11207,9.0
501,11217,10.0
502,11227,10.0
503,11236,9.0
504,11245,9.0
505,11253,8.0
506,11263,10.0
507,11272,9.0
508,11283,11.0
509,11292,9.0
510,11301,9.0
511,11311,10.0
512,11321,10.0
513,11329,8.0
514,11339,10.0
515,11348,9.0
516,11359,11.0
517,11369,10.0
518,11379,10.0
519,11388,9.0
520,11398,10.0
521,11409,11.0
522,11418,9.0
523,11427,9.0
524,11436,9.0
525,11447,11.0
526,11459,12.0
527,11470,11.0
528,11480,10.0
529,11492,12.0
530,11502,10.0
531,11511,9.0
532,11519,8.0
533,11529,10.0
534,11539,10.0
535,11552,13.0
536,11562,10.0
537,11571,9.0
538,11583,12.0
539,11593,10.0
540,11602,9.0
541,11613,11.0
542,11623,10.0
543,11632,9.0
544,11642,10.0
545,11652,10.0
546,11661,9.0
547,11669,8.0
548,11677,8.0
549,11686,9.0
550,11696,10.0
551,11705,9.0
552,11715,10.0
553,11723,8.0
554,11733,10.0
555,11743,10.0
556,11753,10.0
557,11763,10.0
558,11772,9.0
559,11781,9.0
560,11791,10.0
561,11802,11.0
562,11810,8.0
563,11819,9.0
564,11828,9.0
565,11837,9.0
566,11847,10.0
567,11857,10.0
568,11867,10.0
569,11877,10.0
570,11886,9.0
571,11895,9.0
572,11905,10.0
573,11915,10.0
574,11925,10.0
575,11934,9.0
576,11943,9.0
577,11953,10.0
578,11963,10.0
579,11973,10.0
580,11983,10.0
581,11991,8.0
582,12000,9.0
583,12013,13.0
584,12023,10.0
585,12033,10.0
586,12043,10.0
587,12051,8.0
588,12061,10.0
589,12070,9.0
590,12080,10.0
591,12090,10.0
592,12100,10.0
593,12112,12.0
594,12121,9.0
595,12129,8.0
596,12139,10.0
597,12149,10.0
598,12159,10.0
599,12168,9.0
600,12177,9.0
601,12187,10.0
602,12195,8.0
603,12207,12.0
604,12217,10.0
605,12225,8.0
606,12236,11.0
607,12246,10.0
608,12255,9.0
609,12263,8.0
610,12274,11.0
611,12283,9.0
612,12292,9.0
613,12303,11.0
614,12314,11.0
615,12327,13.0
616,12340,13.0
617,12352,12.0
618,12365,13.0
619,12375,10.0
620,12388,13.0
621,12402,14.0
622,12413,11.0
623,12424,11.0
624,12432,8.0
625,12444,12.0
626,12457,13.0
627,12465,8.0
628,12476,11.0
629,12487,11.0
630,12498,11.0
631,12510,12.0
632,12525,15.0
633,12540,15.0
634,12553,13.0
635,12566,13.0
636,12578,12.0
637,12587,9.0
638,12597,10.0
639,12609,12.0
640,12619,10.0
641,12632,13.0
642,12645,13.0
643,12656,11.0
644,12667,11.0
645,12677,10.0
646,12687,10.0
647,12697,10.0
648,12707,10.0
649,12717,10.0
650,12728,11.0
651,12738,10.0
652,12750,12.0
653,12761,11.0
654,12774,13.0
655,12786,12.0
656,12796,10.0
657,12812,16.0
658,12825,13.0
659,12834,9.0
660,12845,11.0
661,12858,13.0
662,12868,10.0
663,12880,12.0
664,12895,15.0
665,12907,12.0
666,12919,12.0
667,12929,10.0
668,12940,11.0
669,12954,14.0
670,12968,14.0
671,12981,13.0
672,12991,10.0
673,13001,10.0
674,13015,14.0
675,13027,12.0
676,13040,13.0
677,13058,18.0
678,13071,13.0
679,13081,10.0
680,13093,12.0
681,13103,10.0
682,13112,9.0
683,13124,12.0
684,13135,11.0
685,13150,15.0
686,13162,12.0
687,13172,10.0
688,13181,9.0
689,13195,14.0
690,13208,13.0
691,13219,11.0
692,13231,12.0
693,13241,10.0
694,13254,13.0
695,13264,10.0
696,13273,9.0
697,13291,18.0
698,13301,10.0
699,13313,12.0
700,13323,10.0
701,13337,14.0
702,13348,11.0
703,13360,12.0
704,13371,11.0
705,13383,12.0
706,13394,11.0
707,13406,12.0
708,13417,11.0
709,13434,17.0
710,13444,10.0
711,13454,10.0
712,13466,12.0
713,13476,10.0
714,13491,15.0
715,13501,10.0
716,13511,10.0
717,13521,10.0
718,13536,15.0
719,13548,12.0
720,13559,11.0
721,13572,13.0
722,13584,12.0
723,13596,12.0
724,13608,12.0
725,13619,11.0
726,13629,10.0
727,13642,13.0
728,13655,13.0
729,13665,10.0
730,13675,10.0
731,13684,9.0
732,13696,12.0
733,13705,9.0
734,13716,11.0
735,13727,11.0
736,13736,9.0
737,13745,9.0
738,13757,12.0
739,13773,16.0
740,13788,15.0
741,13802,14.0
742,13816,14.0
743,13827,11.0
744,13837,10.0
745,13846,9.0
746,13863,17.0
747,13877,14.0
748,13888,11.0
749,13902,14.0
750,13916,14.0
751,13928,12.0
752,13939,11.0
753,13948,9.0
754,13957,9.0
755,13973,16.0
756,13982,9.0
757,13995,13.0
758,14006,11.0
759,14018,12.0
760,14028,10.0
761,14036,8.0
762,14045,9.0
763,14056,11.0
764,14066,10.0
765,14078,12.0
766,14089,11.0
767,14102,13.0
768,14116,14.0
769,14126,10.0
770,14142,16.0
771,14156,14.0
772,14170,14.0
773,14185,15.0
774,14194,9.0
775,14207,13.0
776,14222,15.0
777,14233,11.0
778,14243,10.0
779,14258,15.0
780,14269,11.0
781,14281,12.0
782,14293,12.0
783,14303,10.0
784,14315,12.0
785,14326,11.0
786,14355,29.0
787,14365,10.0
788,14375,10.0
789,14384,9.0
790,14396,12.0
791,14404,8.0
792,14413,9.0
793,14422,9.0
794,14432,10.0
795,14440,8.0
796,14450,10.0
797,14460,10.0
798,14470,10.0
799,14480,10.0
800,14489,9.0
801,14497,8.0
802,14507,10.0
803,14516,9.0
804,14527,11.0
805,14536,9.0
806,14545,9.0
807,14555,10.0
808,14564,9.0
809,14573,9.0
810,14583,10.0
811,14594,11.0
812,14605,11.0
813,14616,11.0
814,14624,8.0
815,14633,9.0
816,14648,15.0
817,14658,10.0
818,14671,13.0
819,14681,10.0
820,14689,8.0
821,14698,9.0
822,14708,10.0
823,14724,16.0
824,14734,10.0
825,14743,9.0
826,14752,9.0
827,14761,9.0
828,14770,9.0
829,14779,9.0
830,14789,10.0
831,14798,9.0
832,14808,10.0
833,14817,9.0
834,14827,10.0
835,14836,9.0
836,14846,10.0
837,14856,10.0
838,14865,9.0
839,14875,10.0
840,14884,9.0
841,14894,10.0
842,14903,9.0
843,14911,8.0
844,14919,8.0
845,14929,10.0
846,14942,13.0
847,14952,10.0
848,14961,9.0
849,14973,12.0
850,14983,10.0
851,14993,10.0
852,15002,9.0
853,15012,10.0
854,15023,11.0
855,15033,10.0
856,15044,11.0
857,15053,9.0
858,15064,11.0
859,15073,9.0
860,15083,10.0
861,15093,10.0
862,15102,9.0
863,15111,9.0
864,15121,10.0
865,15130,9.0
866,15143,13.0
867,15152,9.0
868,15162,10.0
869,15172,10.0
870,15182,10.0
871,15192,10.0
872,15204,12.0
873,15215,11.0
874,15225,10.0
875,15234,9.0
876,15245,11.0
877,15254,9.0
878,15267,13.0
879,15277,10.0
880,15286,9.0
881,15296,10.0
882,15305,9.0
883,15315,10.0
884,15324,9.0
885,15337,13.0
886,15346,9.0
887,15356,10.0
888,15366,10.0
889,15375,9.0
890,15384,9.0
891,15398,14.0
892,15407,9.0
893,15417,10.0
894,15425,8.0
895,15435,10.0
896,15447,12.0
897,15458,11.0
898,15468,10.0
899,15477,9.0
900,15488,11.0
901,15498,10.0
902,15507,9.0
903,15516,9.0
904,15527,11.0
905,15535,8.0
906,15546,11.0
907,15556,10.0
908,15566,10.0
909,15575,9.0
910,15584,9.0
911,15596,12.0
912,15606,10.0
913,15615,9.0
914,15627,12.0
915,15637,10.0
916,15646,9.0
917,15656,10.0
918,15666,10.0
919,15674,8.0
920,15683,9.0
921,15693,10.0
922,15704,11.0
923,15712,8.0
924,15722,10.0
925,15732,10.0
926,15742,10.0
927,15751,9.0
928,15762,11.0
929,15773,11.0
930,15783,10.0
931,15791,8.0
932,15801,10.0
933,15810,9.0
934,15824,14.0
935,15833,9.0
936,15843,10.0
937,15853,10.0
938,15865,12.0
939,15874,9.0
940,15886,12.0
941,15896,10.0
942,15906,10.0
943,15919,13.0
944,15928,9.0
945,15938,10.0
946,15948,10.0
947,15958,10.0
948,15966,8.0
949,15974,8.0
950,15983,9.0
951,15993,10.0
952,16003,10.0
953,16012,9.0
954,16021,9.0
955,16033,12.0
956,16044,11.0
957,16057,13.0
958,16070,13.0
959,16080,10.0
960,16090,10.0
961,16099,9.0
962,16110,11.0
963,16120,10.0
964,16132,12.0
965,16142,10.0
966,16154,12.0
967,16164,10.0
968,16173,9.0
969,16185,12.0
970,16194,9.0
971,16204,10.0
972,16212,8.0
973,16221,9.0
974,16230,9.0
975,16240,10.0
976,16248,8.0
977,16258,10.0
978,16270,12.0
979,16280,10.0
980,16289,9.0
981,16299,10.0
982,16309,10.0
983,16319,10.0
984,16329,10.0
985,16338,9.0
986,16347,9.0
987,16357,10.0
988,16367,10.0
989,16377,10.0
990,16386,9.0
991,16399,13.0
992,16415,16.0
993,16424,9.0
994,16436,12.0
995,16449,13.0
996,16464,15.0
997,16479,15.0
998,16492,13.0
999,16505,13.0
1000,16517,12.0
1001,16533,16.0
1002,16547,14.0
1003,16559,12.0
1004,16574,15.0
1005,16590,16.0
1006,16602,12.0
1007,16614,12.0
1008,16625,11.0
1009,16641,16.0
1010,16657,16.0
1011,16672,15.0
1012,16694,22.0
1013,16707,13.0
1014,16726,19.0
1015,16740,14.0
1016,16753,13.0
1017,16771,18.0
1018,16786,15.0
1019,16802,16.0
1020,16824,22.0
1021,16840,16.0
1022,16852,12.0
1023,16868,16.0
1024,16883,15.0
1025,16896,13.0
1026,16913,17.0
1027,16937,24.0
1028,16948,11.0
1029,16962,14.0
1030,16980,18.0
1031,16996,16.0
1032,17014,18.0
1033,17028,14.0
1034,17045,17.0
1035,17065,20.0
1036,17081,16.0
1037,17104,23.0
1038,17121,17.0
1039,17136,15.0
1040,17153,17.0
1041,17166,13.0
1042,17178,12.0
1043,17194,16.0
1044,17207,13.0
1045,17224,17.0
1046,17236,12.0
1047,17253,17.0
1048,17268,15.0
1049,17283,15.0
1050,17300,17.0
1051,17312,12.0
1052,17327,15.0
1053,17341,14.0
1054,17356,15.0
1055,17369,13.0
1056,17384,15.0
1057,17400,16.0
1058,17411,11.0
1059,17428,17.0
1060,17445,17.0
1061,17464,19.0
1062,17479,15.0
1063,17503,24.0
1064,17519,16.0
1065,17534,15.0
1066,17551,17.0
1067,17570,19.0
1068,17587,17.0
1069,17603,16.0
1070,17622,19.0
1071,17637,15.0
1072,17654,17.0
1073,17668,14.0
1074,17682,14.0
1075,17696,14.0
1076,17709,13.0
1077,17720,11.0
1078,17735,15.0
1079,17748,13.0
1080,17763,15.0
1081,17778,15.0
1082,17791,13.0
1083,17805,14.0
1084,17821,16.0
1085,17832,11.0
1086,17846,14.0
1087,17863,17.0
1088,17879,16.0
1089,17891,12.0
1090,17902,11.0
1091,17920,18.0
1092,17939,19.0
1093,17953,14.0
1094,17967,14.0
1095,17986,19.0
1096,18002,16.0
1097,18015,13.0
1098,18028,13.0
1099,18044,16.0
1100,18058,14.0
1101,18079,21.0
1102,18092,13.0
1103,18104,12.0
1104,18128,24.0
1105,18143,15.0
1106,18162,19.0
1107,18177,15.0
1108,18193,16.0
1109,18210,17.0
1110,18226,16.0
1111,18243,17.0
1112,18261,18.0
1113,18288,27.0
1114,18301,13.0
1115,18317,16.0
1116,18339,22.0
1117,18350,11.0
1118,18369,19.0
1119,18384,15.0
1120,18400,16.0
1121,18417,17.0
1122,18431,14.0
1123,18468,37.0
1124,18543,75.0
1125,18576,33.0
1126,18653,77.0
1127,18726,73.0
1128,18765,39.0
1129,18793,28.0
1130,18829,36.0
1131,18877,48.0
1132,18903,26.0
1133,18981,78.0
1134,19009,28.0
1135,19058,49.0
1136,19072,14.0
1137,19154,82.0
1138,19193,39.0
1139,19243,50.0
1140,19353,110.0
1141,19488,135.0
1142,19539,51.0
1143,19608,69.0
1144,19667,59.0
1145,19694,27.0
1146,19755,61.0
1147,19769,14.0
1148,19807,38.0
1149,19826,19.0
1150,19883,57.0
1151,20016,133.0
1152,20038,22.0
1153,20069,31.0
1154,20151,82.0
1155,20176,25.0
1156,20232,56.0
1157,20268,36.0
1158,20317,49.0
1159,20341,24.0
1160,20392,51.0
1161,20439,47.0
1162,20457,18.0
1163,20500,43.0
1164,20528,28.0
1165,20612,84.0
1166,20642,30.0
1167,20683,41.0
1168,20714,31.0
1169,20743,29.0
1170,20785,42.0
1171,20807,22.0
1172,20859,52.0
1173,20872,13.0
1174,20898,26.0
1175,20965,67.0
1176,20985,20.0
1177,21002,17.0
1178,21032,30.0
1179,21067,35.0
1180,21102,35.0
1181,21113,11.0
1182,21134,21.0
1183,21153,19.0
1184,21168,15.0
1185,21215,47.0
1186,21247,32.0
1187,21267,20.0
1188,21293,26.0
1189,21309,16.0
1190,21373,64.0
1191,21394,21.0
1192,21467,73.0
1193,21523,56.0
1194,21560,37.0
1195,21579,19.0
1196,21635,56.0
1197,21661,26.0
1198,21758,97.0
1199,21804,46.0
1200,21851,47.0
1201,21906,55.0
1202,21921,15.0
1203,21947,26.0
1204,21959,12.0
1205,21984,25.0
1206,22016,32.0
1207,22034,18.0
1208,22058,24.0
1209,22090,32.0
1210,22176,86.0
1211,22195,19.0
1212,22217,22.0
1213,22321,104.0
1214,22361,40.0
1215,22410,49.0
1216,22453,43.0
1217,22515,62.0
1218,22541,26.0
1219,22562,21.0
1220,22587,25.0
1221,22598,11.0
1222,22617,19.0
1223,22630,13.0
1224,22643,13.0
1225,22656,13.0
1226,22670,14.0
1227,22685,15.0
1228,22702,17.0
1229,22731,29.0
1230,22749,18.0
1231,22766,17.0
1232,22791,25.0
1233,22805,14.0
1234,22825,20.0
1235,22840,15.0
1236,22854,14.0
1237,22879,25.0
1238,22900,21.0
1239,22918,18.0
1240,22944,26.0
1241,22961,17.0
1242,22980,19.0
1243,22992,12.0
1244,23013,21.0
1245,23036,23.0
1246,23057,21.0
1247,23083,26.0
1248,23103,20.0
1249,23122,19.0
1250,23153,31.0
1251,23171,18.0
1252,23185,14.0
1253,23202,17.0
1254,23227,25.0
1255,23252,25.0
1256,23269,17.0
1257,23292,23.0
1258,23305,13.0
1259,23326,21.0
1260,23349,23.0
1261,23365,16.0
1262,23387,22.0
1263,23405,18.0
1264,23419,14.0
1265,23429,10.0
1266,23444,15.0
1267,23469,25.0
1268,23481,12.0
1269,23496,15.0
1270,23511,15.0
1271,23527,16.0
1272,23551,24.0
1273,23585,34.0
1274,23619,34.0
1275,23644,25.0
1276,23653,9.0
1277,23671,18.0
1278,23682,11.0
1279,23692,10.0
1280,23721,29.0
1281,23739,18.0
1282,23758,19.0
1283,23791,33.0
1284,23801,10.0
1285,23816,15.0
1286,23832,16.0
1287,23846,14.0
1288,23862,16.0
1289,23871,9.0
1290,23888,17.0
1291,23919,31.0
1292,23929,10.0
1293,23948,19.0
1294,23963,15.0
1295,23980,17.0
1296,23993,13.0
1297,24010,17.0
1298,24031,21.0
1299,24045,14.0
1300,24059,14.0
1301,24076,17.0
1302,24092,16.0
1303,24103,11.0
1304,24114,11.0
1305,24128,14.0
1306,24137,9.0
1307,24163,26.0
1308,24184,21.0
1309,24242,58.0
1310,24265,23.0
1311,24292,27.0
1312,24301,9.0
1313,24334,33.0
1314,24347,13.0
1315,24365,18.0
1316,24381,16.0
1317,24395,14.0
1318,24421,26.0
1319,24434,13.0
1320,24451,17.0
1321,24467,16.0
1322,24480,13.0
1323,24495,15.0
1324,24521,26.0
1325,24545,24.0
1326,24564,19.0
1327,24658,94.0
1328,24734,76.0
1329,24757,23.0
1330,24830,73.0
1331,24987,157.0
1332,25065,78.0
1333,25164,99.0
1334,25195,31.0
1335,25263,68.0
1336,25320,57.0
1337,25395,75.0
1338,25447,52.0
1339,25515,68.0
1340,25563,48.0
1341,25592,29.0
1342,25686,94.0
1343,25743,57.0
1344,25798,55.0
1345,25822,24.0
1346,25892,70.0
1347,25964,72.0
1348,25990,26.0
1349,26111,121.0
1350,26150,39.0
1351,26173,23.0
1352,26222,49.0
1353,26382,160.0
1354,26461,79.0
1355,26540,79.0
1356,26575,35.0
1357,26598,23.0
1358,26676,78.0
1359,26699,23.0
1360,26721,22.0
1361,26746,25.0
1362,26788,42.0
1363,26809,21.0
1364,26829,20.0
1365,26885,56.0
1366,26927,42.0
1367,26961,34.0
1368,27007,46.0
1369,27077,70.0
1370,27093,16.0
1371,27141,48.0
1372,27163,22.0
1373,27183,20.0
1374,27202,19.0
1375,27230,28.0
1376,27244,14.0
1377,27273,29.0
1378,27307,34.0
1379,27341,34.0
1380,27380,39.0
1381,27405,25.0
1382,27426,21.0
1383,27446,20.0
1384,27460,14.0
1385,27486,26.0
1386,27514,28.0
1387,27577,63.0
1388,27612,35.0
1389,27632,20.0
1390,27645,13.0
1391,27713,68.0
1392,27817,104.0
1393,27940,123.0
1394,27964,24.0
1395,27976,12.0
1396,27993,17.0
1397,28024,31.0
1398,28068,44.0
1399,28091,23.0
1400,28164,73.0
1401,28213,49.0
1402,28238,25.0
1403,28292,54.0
1404,28399,107.0
1405,28429,30.0
1406,28453,24.0
1407,28475,22.0
1408,28541,66.0
1409,28622,81.0
1410,28649,27.0
1411,28665,16.0
1412,28700,35.0
1413,28733,33.0
1414,28752,19.0
1415,28772,20.0
1416,28787,15.0
1417,28826,39.0
1418,28843,17.0
1419,28858,15.0
1420,28869,11.0
1421,28898,29.0
1422,28908,10.0
1423,28943,35.0
1424,28956,13.0
1425,28984,28.0
1426,29001,17.0
1427,29025,24.0
1428,29042,17.0
1429,29060,18.0
1430,29076,16.0
1431,29090,14.0
1432,29102,12.0
1433,29121,19.0
1434,29133,12.0
1435,29148,15.0
1436,29169,21.0
1437,29186,17.0
1438,29208,22.0
1439,29224,16.0
1440,29240,16.0
1441,29255,15.0
1442,29269,14.0
1443,29283,14.0
1444,29293,10.0
1445,29308,15.0
1446,29324,16.0
1447,29337,13.0
1448,29353,16.0
1449,29372,19.0
1450,29383,11.0
1451,29400,17.0
1452,29418,18.0
1453,29457,39.0
1454,29487,30.0
1455,29501,14.0
1456,29535,34.0
1457,29555,20.0
1458,29569,14.0
1459,29581,12.0
1460,29606,25.0
1461,29626,20.0
1462,29640,14.0
1463,29670,30.0
1464,29688,18.0
1465,29711,23.0
1466,29730,19.0
1467,29753,23.0
1468,29780,27.0
1469,29802,22.0
1470,29823,21.0
1471,29843,20.0
1472,29860,17.0
1473,29883,23.0
1474,29896,13.0
1475,29911,15.0
1476,29935,24.0
1477,29962,27.0
1478,29995,33.0
1479,30010,15.0
1480,30029,19.0
1481,30050,21.0
1482,30065,15.0
1483,30091,26.0
1484,30108,17.0
1485,30131,23.0
1486,30144,13.0
1487,30166,22.0
1488,30179,13.0
1489,30190,11.0
1490,30221,31.0
1491,30236,15.0
1492,30248,12.0
1493,30264,16.0
1494,30275,11.0
1495,30292,17.0
1496,30309,17.0
1497,30324,15.0
1498,30341,17.0
1499,30359,18.0
1500,30376,17.0
1501,30395,19.0
1502,30409,14.0
1503,30431,22.0
